latitude,longitude
31.168476288585758,121.41389866018922
31.16785588179162,121.4139948029632
31.16725626963458,121.41409735001821
31.16671023694386,121.41420830006673
31.166672259587877,121.41421230725776
31.166466812379856,121.41423434650139
31.1664559180503,121.41423444763922
31.16644518198436,121.41423244690378
31.16643501412999,121.41422854443175
31.166425764307164,121.41422274019237
31.166417823656012,121.41421673565118
31.166409512093995,121.41420932991049
31.166402378985115,121.41420072299972
31.166396584483458,121.41419121516898
31.166392258601736,121.41418090649637
31.16627576892755,121.41383521628003
31.16620482922646,121.41360622704104
31.166198226241352,121.41358480948495
31.16619640960467,121.41357490125253
31.166196951684633,121.41356489271583
31.166198643331683,121.41355508424377
31.166208886016886,121.41353926987574
31.166242991209955,121.41351654740129
31.16625236061196,121.41350894007928
31.16626020965366,121.4134998316396
31.166266020429305,121.41349162415942
31.16627201943759,121.41348121480874
31.166275898775975,121.41346980482432
31.166283460505714,121.41343767707211
31.16634078286422,121.41310779736749
31.16634233790717,121.41304854860219
31.166303107400996,121.41276352115753
31.166302438349046,121.41275071093644
31.166303928269024,121.41273800059876
31.16630618897255,121.41272689147958
31.16631036935629,121.41271668290626
31.166318019647676,121.41270877585134
31.1663356814427,121.41269626416633
31.166634655743483,121.41259695668329
31.167191599574206,121.41236091818148
31.16774426119128,121.412129787198
31.1677570278388,121.41213428944913
31.167766065210937,121.41215120158148
31.167766065281423,121.4121513016576
31.167811612045355,121.41223576244049
31.167811612045355,121.41223576244049
31.167846239911032,121.4122996086255
31.167909471330038,121.41241639368708
31.168026751283207,121.41263745695406
31.168026771273176,121.41263745695265
31.168106667399712,121.41278396641302
31.168106667399712,121.41278396641302
31.168154286999727,121.41287103199961
31.168229622641032,121.41301203926339
31.16829353894804,121.41313173116305
31.16836680031385,121.41327714427621
31.168374478645877,121.41329345708913
31.168374548684852,121.41329355716509
31.168401523678927,121.41334509748302
31.16847612055731,121.41351032884405
31.16852198822747,121.41365604782914
31.16852201828825,121.41365614791196
31.168537455201133,121.41370158514222
31.168543861743252,121.41372740657624
31.168546231614876,121.41375482980408
31.168546291923022,121.41383309696525
31.168546162376177,121.41383359740827
31.168544368323136,121.41384010317869
31.168542234445994,121.41384660898358
31.16853979057452,121.41385291464874
31.16853700688001,121.4138592203474
31.168533903272767,121.4138654259937
31.168530469837023,121.41387163167319
31.168526706416813,121.41387763721391
31.168522623162822,121.41388364278748
31.168518210001604,121.41388954830842
31.168516652274512,121.41389145009953
31.168476288585758,121.41389866018922
