id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0FFGOFVEF,,上海巴士公交集团驾驶员培训有限公司内部地面停车场,交通设施服务;停车场;专用停车场,杨行镇共祥路18号上海巴士公交集团驾驶员培训有限公司,,121.419695,31.403741,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV09208285,,杨泰路白沙园路(公交站),交通设施服务;公交车站;公交车站相关,宝山30路,,121.431441,31.39513,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0IR2Z31BN,,福人尊木汇木材园区停车场,交通设施服务;停车场;停车场相关,杨行镇蕴川路1800号-4,,121.426912,31.376127,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0HR39I1KV,,泊鼎停车,交通设施服务;停车场;停车场相关,富联路,,121.396564,31.378267,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV09211972,,杨泰路湄浦路(公交站),交通设施服务;公交车站;公交车站相关,宝山30路,,121.430544,31.397301,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV11474633,,杨南路锦伟路(公交站),交通设施服务;公交车站;公交车站相关,宝山92路,,121.39704,31.400009,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0IA278D8T,,福人尊木汇木材园区停车场,交通设施服务;停车场;公共停车场,宝田路与蕰川公路交叉口西220米,,121.427466,31.376174,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0FFLMBLL2,,白沙公园停车场,交通设施服务;停车场;公共停车场,富杨路458号,,121.43346,31.393277,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10034139,,友谊路杨泰路(公交站),交通设施服务;公交车站;公交车站相关,宝山21路;宝山28路;宝山9路,,121.433555,31.385135,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0KB9Z6JYV,,上海月浦蔬菜交易市场经营管理有限公司地面停车场,交通设施服务;停车场;公共停车场,蕰川路2767号上海月浦蔬菜交易市场经营管理有限公司,,121.422381,31.404892,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10411832,,蕰川公路共祥路(公交站),交通设施服务;公交车站;公交车站相关,172路;宝山14路;宝山21路;宝山6路;宝山91路;宝山92路;宝山95路,,121.421957,31.405313,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10026142,,蕰川路共祥路(公交站),交通设施服务;公交车站;公交车站相关,1603路,,121.421957,31.405313,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0H6RU88GB,,金悦生活广场停车场,交通设施服务;停车场;公共停车场,德都路与富锦路交叉口西北80米,,121.428626,31.402321,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10026150,,德都路富锦路(公交站),交通设施服务;公交车站;公交车站相关,1603路;宝山88路;宝山8路,,121.428429,31.403467,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0H6DS8KV2,,丽都广场停车场,交通设施服务;停车场;公共停车场,友谊西路2858号,,121.435774,31.385002,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10556228,,潘泾路积福东路(公交站),交通设施服务;公交车站;公交车站相关,宝山90路,,121.390851,31.381233,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10555280,,潘泾路潘唐路(公交站),交通设施服务;公交车站;公交车站相关,宝山90路,,121.391078,31.380485,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10026149,,德都路绥化路(公交站),交通设施服务;公交车站;公交车站相关,1603路;宝山88路;宝山8路,,121.427062,31.404822,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0H0Y5L09U,,上海市宝山区殡仪馆停车场,交通设施服务;停车场;公共停车场,宝安公路与蕰川公路辅路交叉口西480米,,121.425678,31.371232,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0H0Y5J4H7,,上海市宝山区殡仪馆停车场(出入口),交通设施服务;停车场;停车场出入口,宝安公路与蕰川公路辅路交叉口西460米,,121.42592,31.37117,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV11470116,,月辉路盘古路(公交站),交通设施服务;公交车站;公交车站相关,宝山9路,,121.436632,31.39112,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV11474634,,杨南路长山路(公交站),交通设施服务;公交车站;公交车站相关,宝山92路,,121.391602,31.399136,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10617460,,宝安公路蕰川公路(公交站),交通设施服务;公交车站;公交车站相关,宝山29路,,121.427352,31.371667,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10851465,,白沙园路富杨路(公交站),交通设施服务;公交车站;公交车站相关,宝山9路,,121.434965,31.397361,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0JGXZ1UDN,,停车场,交通设施服务;停车场;停车场相关,春和路557号,,121.406128,31.408879,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0JRJADW63,,上海展志钢材加工配送有限公司内部地面停车场(出入口),交通设施服务;停车场;停车场出入口,上海展志钢材加工配送有限公司内部地面停车场,,121.399652,31.406342,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0JRJAH5C4,,上海展志钢材加工配送有限公司内部地面停车场,交通设施服务;停车场;专用停车场,春和路1058号上海展志钢材加工配送有限公司,,121.398721,31.406025,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10034211,,杨泰路镇泰路(公交站),交通设施服务;公交车站;公交车站相关,宝山7路,,121.436844,31.383529,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0FFJC04CO,,中铁北宸名邸停车场,交通设施服务;停车场;公共停车场,月辉路218弄,,121.437481,31.391015,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0FFFV8RZ4,,上海宝安瞑园停车场,交通设施服务;停车场;公共停车场,宝安公路128号,021-56800444,121.426293,31.370453,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV11469230,,盘古路月辉路(公交站),交通设施服务;公交车站;公交车站相关,宝山9路,,121.437561,31.392183,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10034153,,绥化路庆安路(公交站),交通设施服务;公交车站;公交车站相关,宝山23路,,121.428,31.40585,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0IBS7T20U,,颐景园停车场,交通设施服务;停车场;公共停车场,杨泰路859号颐景园内(南侧),,121.437284,31.383443,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10576292,,蕰川公路宝杨路(公交站),交通设施服务;公交车站;公交车站相关,172路,,121.430767,31.37325,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV11469225,,月辉路友谊路(公交站),交通设施服务;公交车站;公交车站相关,宝山9路,,121.438532,31.388172,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10555279,,潘泾路富锦路(公交站),交通设施服务;公交车站;公交车站相关,宝山90路,,121.386512,31.388747,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0IULAQOOY,,功杰货运地面停车场,交通设施服务;停车场;公共停车场,,,121.412891,31.41098,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0H33CXVCJ,,寺前队停车场,交通设施服务;停车场;停车场相关,宝安公路18号(宝安公路地铁站5号口步行440米),18016256508,121.429484,31.371294,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10026449,,吴家宅(公交站),交通设施服务;公交车站;公交车站相关,宝山29路,,121.416595,31.366142,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV09208286,,湄浦路杨泰路(公交站),交通设施服务;公交车站;公交车站相关,宝山30路,,121.43571,31.400316,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10024585,,陆家宅(公交站),交通设施服务;公交车站;公交车站相关,1603路;172路;宝山14路;宝山21路;宝山6路;宝山91路;宝山92路;宝山95路,,121.420651,31.411042,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10617461,,宝杨路梅林路(公交站),交通设施服务;公交车站;公交车站相关,345路;宝山29路,,121.432648,31.372717,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0FFKGM1FH,,中铁北城时代停车场,交通设施服务;停车场;停车场相关,友谊路与月辉路交叉口东北140米,,121.44006,31.388315,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10401864,,绥化路春雷路(公交站),交通设施服务;公交车站;公交车站相关,宝山23路,,121.431345,31.406003,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10039887,,宝安公路(地铁站),交通设施服务;地铁站;地铁站,1号线,,121.430914,31.369555,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10555282,,潘泾路湄星路(公交站),交通设施服务;公交车站;公交车站相关,宝山90路,,121.396505,31.36974,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0HKDU09HP,,上海尧丰酒店(宝山顾村工业园区店)停车场,交通设施服务;停车场;公共停车场,宝安公路与跃进路交叉口西60米,,121.413793,31.365189,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BX10016265,,宝安公路地铁站5号口,交通设施服务;地铁站;出入口,1号线,,121.430619,31.370362,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10026148,,德都路安家路(公交站),交通设施服务;公交车站;公交车站相关,1603路;宝山23路;宝山88路;宝山8路,,121.425293,31.410061,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10902843,,宝安公路跃进路(公交站),交通设施服务;公交车站;公交车站相关,宝山29路,,121.413574,31.364801,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BX10016264,,宝安公路地铁站1号口,交通设施服务;地铁站;出入口,1号线,,121.430935,31.369845,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0FFJG6P5G,,上海馨煌广场停车场,交通设施服务;停车场;公共停车场,安家路15-29号,,121.426044,31.409782,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10034140,,友谊路富杨路(公交站),交通设施服务;公交车站;公交车站相关,宝山21路;宝山28路;宝山7路,,121.44099,31.387899,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BX10016262,,宝安公路地铁站4号口,交通设施服务;地铁站;出入口,1号线,,121.430849,31.369335,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0H0NZR03P,,杨行特色盆花基地停车场,交通设施服务;停车场;公共停车场,园二路与园一路交叉口西20米,,121.422813,31.365476,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BX10016261,,宝安公路地铁站3号口,交通设施服务;地铁站;出入口,1号线,,121.43094,31.368937,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BX10016263,,宝安公路地铁站2号口,交通设施服务;地铁站;出入口,1号线,,121.431185,31.369105,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10034174,,镇泰路富杨路(公交站),交通设施服务;公交车站;公交车站相关,705路;宝山2路,,121.441023,31.3822,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0I65Z4HZS,,晶照大酒店停车点,交通设施服务;停车场;公共停车场,杨行镇红林路2号晶照大酒店(宝安公路地铁站3号口步行90米),,121.430779,31.368244,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10617458,,宝杨路杨泰路(公交站),交通设施服务;公交车站;公交车站相关,345路;宝山15路;宝山29路,,121.438354,31.374445,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10033266,,杨泰路宝杨路(公交站),交通设施服务;公交车站;公交车站相关,705路;宝山15路;宝山2路;宝山30路;宝山7路,,121.440178,31.376936,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10033267,,松兰路镇泰路(公交站),交通设施服务;公交车站;公交车站相关,1609路;宝山2路,,121.4431,31.383707,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV11152816,,红林路蕰川公路(公交站),交通设施服务;公交车站;公交车站相关,宝山32路;宝山9路,,121.430901,31.367439,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0HK676KF5,,红林菜市场停车场,交通设施服务;停车场;公共停车场,红林路与依兰路交叉口西160米,,121.420033,31.36304,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0J25ZSQ6K,,飘鹰停车场,交通设施服务;停车场;公共停车场,红林路49号,,121.430158,31.366886,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0FFGLOYYG,,停车场(四元路),交通设施服务;停车场;公共停车场,四元路与德都路交叉口西80米,,121.423614,31.413226,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0HK5ULQ5G,,红林路和家欣苑B区停车场,交通设施服务;停车场;专用停车场,红林路与富长路交叉口东北200米,,121.418958,31.362887,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0HK678FIY,,红林菜市场停车场(入口),交通设施服务;停车场;停车场入口,红林路与依兰路交叉口西140米,,121.420194,31.363083,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0HDM5VBME,,宝山区非机动车上牌点,交通设施服务;交通服务相关;交通服务相关,富联路与沙好路交叉口东北160米,,121.40919,31.362275,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV11152815,,红林路富长路(公交站),交通设施服务;公交车站;公交车站相关,宝山32路;宝山9路,,121.419518,31.362669,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10026143,,德都路四元路(公交站),交通设施服务;公交车站;公交车站相关,1603路;172路;宝山10路;宝山23路;宝山8路,,121.424114,31.414183,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10032501,,绥化路江杨北路(公交站),交通设施服务;公交车站;公交车站相关,172路;宝山10路;宝山12路;宝山18路;宝山23路;宝山8路,,121.436797,31.40697,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV11170245,,四元路德都路(公交站),交通设施服务;公交车站;公交车站相关,1603路,,121.425677,31.413433,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0H6G5Z2H9,,北上海购物中心停车场,交通设施服务;停车场;公共停车场,蕰川路1555号北上海商业广场F4,,121.432651,31.367392,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10031466,,宝安公路富联路(公交站),交通设施服务;公交车站;公交车站相关,345路;宝山29路;宝山32路,,121.405836,31.361879,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10034124,,富联路宝安公路(公交站),交通设施服务;公交车站;公交车站相关,345路;宝山1路;宝山3路;宝山90路,,121.408157,31.361389,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV11071115,,松兰路镇新路(公交站),交通设施服务;公交车站;公交车站相关,1609路;705路,,121.444015,31.381879,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10032503,,四元路庆安路(公交站),交通设施服务;公交车站;公交车站相关,172路;宝山10路;宝山88路,,121.426643,31.413559,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10027602,,马泾桥(公交站),交通设施服务;公交车站;公交车站相关,172路;宝山10路;宝山12路;宝山14路;宝山18路;宝山21路;宝山23路;宝山6路;宝山87路;宝山91路;宝山95路,,121.419069,31.416379,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10034173,,镇泰路松兰路(公交站),交通设施服务;公交车站;公交车站相关,宝山2路,,121.444626,31.383546,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10034263,,江杨北路友谊路(公交站),交通设施服务;公交车站;公交车站相关,宝山2路;宝山88路,,121.445069,31.39092,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0H1LUG6YY,,北上海生活广场立体停车场,交通设施服务;停车场;公共停车场,蕰川公路与蕴川公路辅路交叉口东120米,,121.433181,31.366764,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0J0YMNE7U,,东街休闲广场地面停车场,交通设施服务;停车场;公共停车场,镇新路与松兰路交叉口西南100米,,121.444141,31.380019,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10034154,,江杨北路富锦路(公交站),交通设施服务;公交车站;公交车站相关,1609路;宝山30路;宝山87路;宝山88路,,121.439003,31.406189,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0HKG7HUKE,,上城院子内部地下停车场,交通设施服务;停车场;专用停车场,苏家浜路218弄上城院子,,121.394551,31.364694,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10032500,,江杨北路绥化路(公交站),交通设施服务;公交车站;公交车站相关,1609路;172路;宝山12路;宝山18路;宝山30路,,121.439514,31.406534,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10039981,,江杨北路(地铁站),交通设施服务;地铁站;地铁站,3号线,,121.439819,31.407858,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10034138,,月罗公路段泾路(公交站),交通设施服务;公交车站;公交车站相关,宝山21路;宝山23路;宝山95路,,121.40435,31.416809,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0H1C53JX5,,上海中冶医院总院停车场,交通设施服务;停车场;公共停车场,春雷路456号上海中冶医院(总院),,121.432532,31.412826,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B00157226A,,江杨北路综合客运交通枢纽,交通设施服务;交通服务相关;交通服务相关,江杨北路1801号(江杨北路地铁站1号口步行50米),,121.439456,31.407135,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
