name,AOI_Points
博爱广场,"121.46950878705529,31.226178613659936;121.46961454856809,31.225974604967636;121.47041750690613,31.2243963953239;121.4704263368509,31.224384425770882;121.47044238966036,31.224380472880142;121.47046084990178,31.22438132455999;121.47116633949466,31.22462080724566;121.47117356233755,31.22463042323504;121.47117677169854,31.22464322638845;121.47117355959323,31.22466000952053;121.47067741850833,31.225900432253624;121.47047591601714,31.226377242752932;121.47046788877462,31.226388414937713;121.47045584872174,31.22639637729254;121.4704381906205,31.22640112529429;121.47041892772764,31.22640107100013;121.46950878705529,31.226178613659936;"
菊园新区市民文化广场,"121.34681374841226,31.159311204210088;121.34680915882849,31.159298918171945;121.34680337165048,31.159287233748923;121.34679648667446,31.159276150779977;121.34678860369489,31.159265669104695;121.34677982248458,31.15925608840279;121.34677014305151,31.15924730872681;121.34675966516791,31.15923962975739;121.34674888785108,31.159232550954112;121.34673661363954,31.159225074784686;121.34672423960346,31.15921799856736;121.3467115661609,31.15921122267608;121.34669869308964,31.159204946844966;121.34668572019463,31.159199070965;121.34667244789311,31.159193495412026;121.34618546592333,31.159001188090443;121.3461756864727,31.158996706391672;121.34616730431429,31.15899012354151;121.34616061879676,31.158981838840187;121.34615602907903,31.158972051530128;121.34615393427057,31.158961560536316;121.34615443412403,31.15895086542846;121.34615732900154,31.15894056621213;121.34643111344266,31.158350236509484;121.34643790027356,31.158340530683578;121.34644608413154,31.158332021952397;121.34645576476981,31.15832520988733;121.34646654298723,31.158320394977057;121.34647801960621,31.158317577868086;121.34648979542293,31.158317059048223;121.3465014712754,31.158318639270803;121.34685593772775,31.15838962771429;121.34737257660274,31.158457259477228;121.34738305511826,31.158458941749704;121.3473928348559,31.15846312381231;121.34740141685535,31.158469506624638;121.34740830217262,31.158477591253114;121.34741299183808,31.15848717860569;121.3474154859103,31.158497569054514;121.34741538524162,31.158508263506334;121.34736227203203,31.158769809216437;121.34735937689965,31.15878240714582;121.34735628217435,31.158795005396772;121.34735298786303,31.158807504020775;121.34734949395998,31.15882000296687;121.34734590025948,31.158832502072208;121.34734210698221,31.15884480160582;121.34733811411189,31.158857101461106;121.34731116272056,31.15893430359499;121.34717331789139,31.15925165612324;121.347167528724,31.159263659045514;121.34716094122898,31.159275163519155;121.34715365518448,31.159286369277;121.34714567061627,31.159296976479865;121.34713708731395,31.159307084913326;121.34712780548014,31.159316694738255;121.34711792492749,31.159325605901145;121.34703379091633,31.159397802988998;121.3470227128892,31.159406016470967;121.34701083659533,31.15941303188;121.34699826183244,31.159418849056348;121.34698518819887,31.15942336773101;121.34697171550083,31.15942648779781;121.3469580433299,31.159428208934266;121.34694427147423,31.15942863092608;121.34690185834229,31.15942789975882;121.34688978312823,31.15942711966604;121.34687810727338,31.159424240049518;121.34686703035847,31.15941936053309;121.34685705135384,31.15941258025884;121.34684836982605,31.159404198743506;121.34684128514388,31.159394415396957;121.3468360966693,31.15938352957637;121.34681374841226,31.159311204210088;"
菊园新区党建广场,"121.26472077022058,31.383815706750468;121.26487329326642,31.38337881267018;121.26433793244203,31.38322592941664;121.26419881729042,31.383554736612865;121.2642362068975,31.38362159395471;121.26429788617025,31.383692772546457;121.26472077022058,31.383815706750468;"
上海优秀城市文化广场,"121.01193474573134,30.889311866283727;121.01192378411413,30.889316696720506;121.01191212516078,30.889319530456362;121.01190016746783,30.889320266340512;121.01188830962232,30.889318903164032;121.01187685056696,30.889315440017974;121.01186608922055,30.88931007587829;121.01185662347471,30.889302708987266;121.01174363466308,30.889191717899475;121.0117331725091,30.889183954284178;121.01172211237271,30.889177291836333;121.01171025490484,30.88917233080692;121.01169769973343,30.889169270776;121.01168494510094,30.889168010289644;121.01167199098833,30.88916874922941;121.01165943528501,30.889171385837468;121.01163950548177,30.889176843196193;121.01162675049193,30.88917948041393;121.01161369674644,30.88918021966289;121.01160064316409,30.8891792599181;121.01158798835132,30.889176400085226;121.0115757322866,30.88917184004707;121.01156427355599,30.889165578591413;121.01155381143326,30.889157814995176;121.01098468350123,30.888642651875816;121.01097770906647,30.888634877720808;121.01097272767262,30.888625698326216;121.01097033715197,30.888615511634484;121.01097043779438,30.88860501753577;121.01097322882379,30.888594915009524;121.01097841124624,30.888585804610873;121.01098568607048,30.88857828689622;121.01120233333961,30.888390238320053;121.01121160099412,30.88838391384374;121.01122196455297,30.888379684793083;121.01123302543502,30.888377552380412;121.01124428540082,30.88837761806293;121.01125524621192,30.888379983297277;121.01126550930434,30.88838444941424;121.01127467610394,30.888390917685832;121.01165449410415,30.888738356833976;121.01166415914842,30.888745323332394;121.0116750201424,30.888750287380578;121.01168647919785,30.888753350734337;121.01169833705079,30.888754214178444;121.0117102947437,30.88875307850124;121.01172175440553,30.888749845579234;121.01173241708727,30.888744616260887;121.01182489471022,30.888686669465013;121.01183535811752,30.888681440761246;121.01184661850121,30.88867830839838;121.01185817761763,30.88867737382985;121.01186973652727,30.88867863796474;121.01188089664228,30.888682102012265;121.01189115974744,30.888687567603387;121.01190022691884,30.888694835763395;121.0122613122278,30.88907351583571;121.0122672903178,30.88908149298694;121.01227077708727,30.88909087686589;121.01227167296392,30.889100868245972;121.01226997801506,30.88911076754095;121.0122656923164,30.88911977522174;121.01225911485865,30.88912739067761;121.01225074394625,30.889132912811625;121.01193474573134,30.889311866283727;"
双桥公园,"121.33170385510627,31.25334017365394;121.3316914832055,31.25333909739299;121.33167931100905,31.253336021667177;121.33166723892865,31.25332854775262;121.3316581601563,31.253319968716067;121.33165037853182,31.253310287741684;121.33164399382198,31.2532996045983;121.33163910578598,31.25328811900538;121.33163571439887,31.25327613082671;121.33163411897536,31.253263739455704;121.33163392017975,31.253254044233095;121.33163342230243,31.253241250981368;121.3316325253282,31.253228458478674;121.3316313290314,31.25321566653884;121.33162963385736,31.253202975491376;121.33162763936105,31.25319028500659;121.33162524576035,31.253177695226995;121.33162265248733,31.253166705095666;121.33161796404487,31.25315461940148;121.33161207827573,31.253143035731853;121.33160529449349,31.25313205347763;121.33159751292409,31.253121672827366;121.33158873354549,31.25311219364598;121.33157845754883,31.25310281723305;121.33156987762507,31.253094537133574;121.33156259485744,31.25308505514076;121.33155700833433,31.253074470459154;121.33155331757857,31.253063082575522;121.33155142278561,31.25305129149708;121.33155162326254,31.25303929656884;121.33155361965613,31.253027498173555;121.33159892952025,31.25286648610931;121.3317263875778,31.25226332077927;121.33173197573014,31.252252915016967;121.33173935971645,31.252243805293567;121.33174843974756,31.252236191705954;121.33175861714851,31.25223047519698;121.3317697921297,31.252226855863128;121.33178146581251,31.252225434594983;121.33179204171151,31.25222751379759;121.33180301643743,31.252233090662173;121.33181289351707,31.25224036881515;121.33253760154625,31.2529239018404;121.3330866276687,31.25336387978245;121.33309201485197,31.25337236591684;121.33309111608307,31.253382562944626;121.33308453033794,31.253390271663964;121.33307255717729,31.253392492886622;121.33170385510627,31.25334017365394;"
极限松鼠运动公园,"121.40814779483838,31.2736808586891;121.40815279417059,31.273680578188255;121.40815771352082,31.273679646209473;121.40816246793786,31.27367807879761;121.40816697577507,31.27367590289702;121.40817115938297,31.273673155949368;121.4081749467182,31.273669885193936;121.40817827253794,31.27366614707185;121.40818107970425,31.27366200582542;121.40818331978126,31.273657532796843;121.40818495414247,31.273652805034132;121.40818595476186,31.273647903888175;121.40818630442351,31.273642913814808;121.40818599711477,31.273637920575702;121.40816665590303,31.27348667525222;121.40816573035268,31.27348162539145;121.40816426488641,31.273476704378325;121.40816227670973,31.273471969796592;121.40815978902896,31.27346747683925;121.4081568308571,31.273463277999742;121.40815343660918,31.27345942227768;121.40814964600361,31.27345595467776;121.4081455033608,31.27345291560684;121.40814105690488,31.273450340680018;121.40813635856324,31.27344825981161;121.4081314631647,31.273446697223584;121.40812642793797,31.273445671340625;121.40812131151685,31.27344519409002;121.40811617363397,31.273445271002927;121.4081110743215,31.273445901113337;121.40799989021193,31.27346578361466;121.40799500230416,31.273466897968905;121.40799024172576,31.273468467808435;121.40798565060122,31.27347047916268;121.407981270055,31.27347291416205;121.40797713900949,31.27347575113474;121.4079732942888,31.27347896471289;121.40796977021287,31.273482526326042;121.40796659820263,31.273486404203716;121.40796380637585,31.273490563777187;121.40796141975137,31.273494967973395;121.40795945964241,31.273499577620353;121.40795794336239,31.273504351544368;121.4079568845242,31.273509247269626;121.40795629253556,31.27351422112004;121.4079561726039,31.273519228816316;121.40795652593432,31.273524225675835;121.4079662874521,31.273606673876696;121.40796706822312,31.273611622292155;121.40796822861006,31.273616495945543;121.4079697619124,31.27362126584671;121.40797165882795,31.27362590350143;121.40797390815317,31.273630381415458;121.40797649638262,31.273634672692168;121.4079794082111,31.27363875193292;121.40798262623149,31.27364259473885;121.40798613123414,31.2736461782082;121.40798990231168,31.273649481138982;121.40799391705215,31.27365248362722;121.40799815154392,31.273655167866174;121.40800258057625,31.27365751794962;121.40800717763454,31.273659519767964;121.40801191540558,31.273661161410768;121.40801676567457,31.273662433167914;121.40802169952636,31.273663327325334;121.40814280147174,31.273680482761634;121.40814779483838,31.2736808586891;"
旭辉广场,"121.55017792803015,31.245197005431837;121.55018073496406,31.245192712401305;121.55018284026735,31.245188018282256;121.55018434416263,31.245183123166523;121.5501852466443,31.245178127009968;121.55018554771765,31.24517292985662;121.5501851471263,31.24516783139309;121.55018404486904,31.24516283161938;121.55018234117638,31.24515803067263;121.55018003604829,31.245153428551014;121.55017722971387,31.245149125392114;121.55017382192297,31.245145320925708;121.55016991291855,31.245141915377786;121.5501657031679,31.24513900906403;121.54992684702127,31.244998238882584;121.54992223624807,31.24499573161901;121.54991742496215,31.24499372376903;121.54991251340928,31.244992115559263;121.54990740135212,31.244990906806112;121.54990228925809,31.244990197831104;121.54989707689737,31.244989888494988;121.54989186450032,31.24499007893643;121.54988665207432,31.244990669198618;121.54988153985053,31.24499175942092;121.54987652783666,31.24499324964751;121.54987171626932,31.244995140059487;121.54986710514304,31.244997530613293;121.54986269446418,31.24500032135354;121.54985848424009,31.245003412324923;121.54985467494004,31.245006903847592;121.54985106609593,31.24501069560098;121.54956405862735,31.24534452375648;121.54956095091377,31.245348616251615;121.54955844460873,31.245353109670873;121.54955643948091,31.24535790387547;121.54955503577588,31.245362899092136;121.54955433374009,31.245367995550218;121.54955423313605,31.245373193065305;121.54955483420846,31.245378391865096;121.54955603673244,31.245383391854602;121.54955784070056,31.245388292990306;121.54956034637391,31.245392795587478;121.54956335325869,31.245397099190544;121.54956686137588,31.245400903932342;121.54957077048546,31.245404209629214;121.5495751808202,31.24540711641942;121.54979720148833,31.245532666348268;121.5498019125316,31.245535073863692;121.54980682407947,31.24553708192037;121.54981193613189,31.245538690517094;121.54981704821776,31.245539799334857;121.5498223608008,31.245540608648557;121.54982767341752,31.245540918182098;121.54983298606784,31.245540727936255;121.54983819850702,31.245540137683804;121.54984341097322,31.24553914760706;121.54984852322802,31.245537757523397;121.54985353527793,31.245535867478466;121.5498582466401,31.245533577062176;121.54986285779118,31.245530886640122;121.54986716824786,31.245527895803043;121.54987127825531,31.245524504778377;121.54987508756878,31.245520813338757;121.55017472016793,31.245200997871073;121.55017792803015,31.245197005431837;"
上海大学嘉定校区文荟广场,"121.2370134181967,31.354777317036117;121.23710175696006,31.354588410037785;121.23746390056908,31.353943743620622;121.23760722747394,31.353987372685374;121.23793215330667,31.353378874849113;121.23779103110274,31.35331005719689;121.23830221621174,31.352434498456592;121.23867326831093,31.35258454421909;121.23931034471896,31.352840607860834;121.23982239381908,31.353048644063957;121.24044744010475,31.353292674452344;121.24122347331829,31.353614679431473;121.2421541785569,31.35401944071765;121.24133318795495,31.35557082980709;121.2412347650436,31.355740360050962;121.24096434703756,31.355727528049833;121.24069873983908,31.355577939560675;121.24043067383319,31.355999353955674;121.23927377442455,31.355572073429855;121.23895533897827,31.355438445374475;121.23831124721647,31.35524474780396;121.23812561864156,31.35517831958162;121.23778716273377,31.35505906324972;121.2370134181967,31.354777317036117;"
楼组党建党员服务广场,"121.26472077022058,31.383815706750468;121.26487329326642,31.38337881267018;121.26433793244203,31.38322592941664;121.26419881729042,31.383554736612865;121.2642362068975,31.38362159395471;121.26429788617025,31.383692772546457;121.26472077022058,31.383815706750468;"
腊梅广场,"121.45165047198671,31.23118467648143;121.45158078985821,31.231126345194806;121.45157286933411,31.231117431332912;121.45156675371837,31.2311074220676;121.45156244300817,31.231096317396595;121.45156023796422,31.231084717725224;121.4515601385629,31.231072922916002;121.45156214477541,31.23106133278401;121.45156806208844,31.231040955550824;121.45157217398942,31.231028570557434;121.45157708802157,31.23101638729001;121.45158260364121,31.231004505249388;121.45158882110925,31.230993024617266;121.45159574043434,31.230981845440247;121.45160336160158,31.23097116762654;121.4516114840744,31.23096099072171;121.45206173574107,31.230371087142725;121.45207035953861,31.23036321048422;121.45208038698443,31.230357136212188;121.45209141698653,31.230353063319487;121.45210294818075,31.23035119056728;121.45211467976497,31.23035141731535;121.45212621064276,31.230353942553275;121.45213703948608,31.230358465272047;121.45221364501967,31.23037193463432;121.45291461805988,31.230729287914134;121.45292504599377,31.23073540931345;121.45293427052925,31.23074322714305;121.45294209113983,31.230752441073758;121.4529482070208,31.230762850497744;121.45295251792766,31.230774055364346;121.45295492359435,31.23078595548588;121.45295532379127,31.23079795090478;121.45295010534745,31.23085481265934;121.45294829948521,31.230867502634254;121.45294549090758,31.230879990373495;121.45294167961409,31.23089227587626;121.4529368656218,31.230904159236527;121.45293124946804,31.230915740873545;121.45292463063109,31.23092672045953;121.4529172096495,31.230937198415454;121.4525073532997,31.231526979382494;121.45249963160842,31.231537656682065;121.45249050620195,31.231547231255277;121.45248037817335,31.23155560407488;121.45246924753256,31.231562675186773;121.45245721455889,31.23156834486893;121.45244468035267,31.231572414138128;121.45243174517881,31.23157498317947;121.45242011380914,31.231573856925813;121.45240657742745,31.23157092712209;121.45239354251062,31.23156659912158;121.45238100906569,31.231560772969473;121.45204190914082,31.23136468549265;121.45165047198671,31.23118467648143;"
