name,lng,lat
博爱广场,121.4695088,31.22617861
博爱广场,121.4696145,31.2259746
博爱广场,121.4704175,31.2243964
博爱广场,121.4704263,31.22438443
博爱广场,121.4704424,31.22438047
博爱广场,121.4704608,31.22438132
博爱广场,121.4711663,31.22462081
博爱广场,121.4711736,31.22463042
博爱广场,121.4711768,31.22464323
博爱广场,121.4711736,31.22466001
博爱广场,121.4706774,31.22590043
博爱广场,121.4704759,31.22637724
博爱广场,121.4704679,31.22638841
博爱广场,121.4704558,31.22639638
博爱广场,121.4704382,31.22640113
博爱广场,121.4704189,31.22640107
博爱广场,121.4695088,31.22617861
菊园新区市民文化广场,121.3468137,31.1593112
菊园新区市民文化广场,121.3468092,31.15929892
菊园新区市民文化广场,121.3468034,31.15928723
菊园新区市民文化广场,121.3467965,31.15927615
菊园新区市民文化广场,121.3467886,31.15926567
菊园新区市民文化广场,121.3467798,31.15925609
菊园新区市民文化广场,121.3467701,31.15924731
菊园新区市民文化广场,121.3467597,31.15923963
菊园新区市民文化广场,121.3467489,31.15923255
菊园新区市民文化广场,121.3467366,31.15922507
菊园新区市民文化广场,121.3467242,31.159218
菊园新区市民文化广场,121.3467116,31.15921122
菊园新区市民文化广场,121.3466987,31.15920495
菊园新区市民文化广场,121.3466857,31.15919907
菊园新区市民文化广场,121.3466724,31.1591935
菊园新区市民文化广场,121.3461855,31.15900119
菊园新区市民文化广场,121.3461757,31.15899671
菊园新区市民文化广场,121.3461673,31.15899012
菊园新区市民文化广场,121.3461606,31.15898184
菊园新区市民文化广场,121.346156,31.15897205
菊园新区市民文化广场,121.3461539,31.15896156
菊园新区市民文化广场,121.3461544,31.15895087
菊园新区市民文化广场,121.3461573,31.15894057
菊园新区市民文化广场,121.3464311,31.15835024
菊园新区市民文化广场,121.3464379,31.15834053
菊园新区市民文化广场,121.3464461,31.15833202
菊园新区市民文化广场,121.3464558,31.15832521
菊园新区市民文化广场,121.3464665,31.15832039
菊园新区市民文化广场,121.346478,31.15831758
菊园新区市民文化广场,121.3464898,31.15831706
菊园新区市民文化广场,121.3465015,31.15831864
菊园新区市民文化广场,121.3468559,31.15838963
菊园新区市民文化广场,121.3473726,31.15845726
菊园新区市民文化广场,121.3473831,31.15845894
菊园新区市民文化广场,121.3473928,31.15846312
菊园新区市民文化广场,121.3474014,31.15846951
菊园新区市民文化广场,121.3474083,31.15847759
菊园新区市民文化广场,121.347413,31.15848718
菊园新区市民文化广场,121.3474155,31.15849757
