adname,adress,divisions,lng,lat,bd09lng,bd09lat,wgs84lng,wgs84lat
学习强国主题公园,嘉定环城路,嘉定区,121.2454034,31.39594382,121.251957,31.40167753,121.2409637,31.39790375
外冈郊野公园,恒飞路与墨玉北路交叉口西南40米,嘉定区,121.1430458,31.35923112,121.1496558,31.36487674,121.1384555,31.36105827
安新村俞湾文化广场,大安路与俞湾路交叉口南180米,嘉定区,121.2892114,31.44701718,121.2957222,31.45300396,121.2847304,31.44893629
悠活城生活广场,柳梁路155号(嘉定西地铁站5号口旁),嘉定区,121.2240105,31.3792064,121.2304823,31.3853188,121.219561,31.38115941
栅桥公园,曹安公路新郁路755号,嘉定区,121.3538356,31.25408788,121.3603602,31.26001678,121.3492347,31.25595734
市民广场,嘉行公路3188号,嘉定区,121.2368399,31.46524574,121.2433918,31.47112312,121.2323921,31.46718633
金鹤公园,金沙江西路2048号旁,嘉定区,121.3090886,31.24383031,121.3155243,31.25014018,121.3045868,31.24578688
学习强国主题公园,真新街道栅桥公园(东南角),嘉定区,121.3541989,31.25387041,121.3607255,31.25979259,121.3495973,31.25573937
南苑公园(建设中),群裕路48号,嘉定区,121.247394,31.37252773,121.2539757,31.3782423,121.2429564,31.37449485
海裕广场,福海路(近嘉定汽车站)(南苑公园南园),嘉定区,121.247956,31.37157598,121.2545403,31.37728434,121.2435184,31.37354344
汇源广场,汇源路200号,嘉定区,121.2028925,31.41807096,121.2092817,31.42442583,121.1984117,31.41998684
安亭新镇奥林匹克体育公园,G2京沪高速出口与安礼路交叉口东南140米,嘉定区,121.1611128,31.27385939,121.167642,31.27969297,121.1565633,31.27574956
南翔水生态公园,南翔镇顺丰路168号,嘉定区,121.3298151,31.33221197,121.3362448,31.33853193,121.3252594,31.33409398
博乐广场,博乐路清河路2号(欧尚对面),嘉定区,121.2476958,31.38605958,121.254265,31.39176718,121.243257,31.38802263
嘉定镇街道双拥广场,清河路25号,嘉定区,121.2450032,31.38666652,121.2515632,31.39240756,121.2405643,31.38862906
登龙广场,清河路嘉定镇街道双拥广场,嘉定区,121.2451102,31.38669251,121.2516705,31.39243211,121.2406713,31.38865506
文化广场,嘉戬支路297附近,嘉定区,121.2938579,31.3760949,121.3003429,31.38216892,121.289375,31.37802608
