id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
BV11282334,,三官堂(公交站),交通设施服务;公交车站;公交车站相关,南海线,,121.2954739,31.78995702,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10025507,,八号桥(公交站),交通设施服务;公交车站;公交车站相关,南建专线;南牛线;南牛线区间;崇明乡村6路;崇明乡村6路区间,,121.2194622,31.77907264,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV11303368,,新海农场(公交站),交通设施服务;公交车站;公交车站相关,南新专线;南海线;南跃线;崇明南新专线接驳线,,121.2901016,31.81847308,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10027438,,纯阳堂桥(公交站),交通设施服务;公交车站;公交车站相关,南建专线;南新专线;崇明南新专线接驳线,,121.2823453,31.76924923,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0GU2BC6ZE,,宏海公路-路侧停车位,交通设施服务;停车场;停车场相关,宏海公路与海腾路交叉口南40米,,121.2901336,31.81866507,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10908214,,烈士村(公交站),交通设施服务;公交车站;公交车站相关,南牛线;南牛线区间,,121.2591243,31.76051857,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10029186,,七号坝桥(公交站),交通设施服务;公交车站;公交车站相关,崇明乡村6路;崇明乡村6路区间,,121.2133132,31.78347497,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10923150,,新海医院(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,南跃线,,121.2933106,31.81899724,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV11330386,,海桥小学(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,南海线,,121.3005687,31.7891584,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B00156EF8H,,停车场(海辉路),交通设施服务;停车场;公共停车场,海辉路与兴谷路交叉口西北40米,,121.2917104,31.82129713,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0FFG69PVB,,海辉路-道路停车位,交通设施服务;停车场;路边停车场,海辉路与兴谷路交叉口东40米,,121.292458,31.82102393,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10027389,,三星中学(公交站),交通设施服务;公交车站;公交车站相关,南建专线;南新专线;崇明南新专线接驳线,,121.2814312,31.76363464,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0FFG7ICSC,,海辉路-道路停车位,交通设施服务;停车场;路边停车场,创新路与海辉路交叉口西150米,,121.2932176,31.82093173,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B00156NQFZ,,新海学校停车场,交通设施服务;停车场;公共停车场,北沿公路3336号新海学校,,121.295173,31.81897927,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV09070387,,四号桥(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,南建专线;南牛线;南牛线区间;崇明乡村6路;崇明乡村6路区间,,121.215902,31.77433644,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10967483,,招呼站(公交站),交通设施服务;公交车站;公交车站相关,崇明乡村6路,,121.2157048,31.7740812,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0H33HRSVG,,停车场(海腾路),交通设施服务;停车场;停车场相关,海辉路新海二村北区,,121.2949153,31.82093503,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0GKCUTTX2,,西沙明珠湖景区正门停车场,交通设施服务;停车场;公共停车场,三华公路333号明珠湖公园内,,121.2511503,31.75384572,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10943444,,明珠湖公园(公交站),交通设施服务;公交车站;公交车站相关,南牛线,,121.2512662,31.75444877,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV11566609,,明珠湖(公交站),交通设施服务;公交车站;公交车站相关,南牛线,,121.2520729,31.75434856,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10029183,,通裕路南桥(公交站),交通设施服务;公交车站;公交车站相关,崇明乡村6路;崇明乡村6路区间,,121.2073856,31.78394686,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV11468959,,水产良种场(公交站),交通设施服务;公交车站;公交车站相关,南牛线,,121.2432077,31.75550455,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0FFK6TPIO,,西沙明珠湖景区停车场(出口),交通设施服务;停车场;停车场出口,三华公路333号明珠湖公园内,,121.2497227,31.75440808,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10034494,,海桥镇(公交站),交通设施服务;公交车站;公交车站相关,南海二线;南海线;崇明乡村11路,,121.3071337,31.78812264,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0FFG1P6EI,,西沙明珠湖公园景观车停放充电处,交通设施服务;停车场;专用停车场,三华公路333号明珠湖公园内,,121.2531724,31.75352514,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV11330540,,新海农场(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,南跃线,,121.3020031,31.81802364,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV09211977,,新洲不锈钢厂(公交站),交通设施服务;公交车站;公交车站相关,南红专线,,121.2684698,31.84129509,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10386252,,北沿公路(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,南跃线,,121.3025061,31.81795275,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B00155DS86,,上海亚通股份有限公司牛棚港客运站,交通设施服务;港口码头;港口码头,跃进公路,,121.2219107,31.834536,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV11106637,,华星村(公交站),交通设施服务;公交车站;公交车站相关,南牛线,,121.2272214,31.75806794,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10036594,,陈海公路三华路(公交站),交通设施服务;公交车站;公交车站相关,南牛线;南牛线区间,,121.2659262,31.75205007,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV11486468,,华联超市(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,南建专线;南牛线;南牛线区间;崇明乡村6路,,121.2143438,31.76727279,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV11556387,,联华超市(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,崇明乡村6路区间,,121.2143438,31.76727279,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV11635326,,招呼站(公交站),交通设施服务;公交车站;公交车站相关,南红专线,,121.2735877,31.84075415,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV09211976,,新洲不锈钢厂(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,南红专线,,121.2742209,31.84068848,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0FFIB1MIC,,新建公路-道路停车位,交通设施服务;停车场;路边停车场,新建公路与东福路交叉口北60米,,121.2142547,31.76717468,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
