id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈
BV10031571,,宛平路衡山路(公交站),交通设施服务;公交车站;公交车站相关,15路;315路;830路,,121.443539,31.199353,310000,上海市,021,上海市,310104,徐汇区,徐家汇
BV10031570,,斜土路南丹东路(公交站),交通设施服务;公交车站;公交车站相关,15路;315路,,121.445943,31.190144,310000,上海市,021,上海市,310104,徐汇区,龙华
BV10031569,,衡山路宛平路(公交站),交通设施服务;公交车站;公交车站相关,15路;315路;320路;824路;830路;93路,,121.441926,31.19857,310000,上海市,021,上海市,310104,徐汇区,徐家汇
BV10031541,,沪闵路柳州路(公交站),交通设施服务;公交车站;公交车站相关,218路;301路;50路;703路;704路;704路B线;729路;徐闵线,,121.428064,31.156032,310000,上海市,021,上海市,310104,徐汇区,康健
BV10031540,,沪闵路冠生园路(公交站),交通设施服务;公交车站;公交车站相关,157路;301路;50路;718路;徐闵线,,121.433711,31.162513,310000,上海市,021,上海市,310104,徐汇区,漕河泾
BV10031537,,常熟路淮海中路(公交站),交通设施服务;公交车站;公交车站相关,15路;26路;315路;327路;45路;49路;824路;830路;927路,,121.448933,31.213985,310000,上海市,021,上海市,310104,徐汇区,淮海路
BV10031531,,常熟路长乐路(公交站),交通设施服务;公交车站;公交车站相关,26路;49路,,121.448566,31.215171,310000,上海市,021,上海市,310104,徐汇区,湖南路
BV10031530,,淮海中路乌鲁木齐中路(公交站),交通设施服务;公交车站;公交车站相关,26路;320路;911路;911路区间;926路,,121.446137,31.209149,310000,上海市,021,上海市,310104,徐汇区,湖南路
BV10031529,,淮海中路高安路(公交站),交通设施服务;公交车站;公交车站相关,26路;320路;911路;911路区间;926路,,121.442973,31.207183,310000,上海市,021,上海市,310104,徐汇区,湖南路
BV10031528,,淮海中路武康路(公交站),交通设施服务;公交车站;公交车站相关,26路;911路;911路区间;926路,,121.438827,31.20459,310000,上海市,021,上海市,310104,徐汇区,湖南路
