id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈
B0J2353JEB,,上海信息管理学校停车场,交通设施服务;停车场;公共停车场,孝民路132号,,121.4476991,31.10722689,310000,上海市,21,上海市,310104,徐汇区,
B0J22ZO2GA,,龙华会地下停车场,交通设施服务;停车场;公共停车场,龙华路2778号龙华会(龙华地铁站2号口旁),,121.4476482,31.17447694,310000,上海市,21,上海市,310104,徐汇区,龙华
B0J0KAUPYD,,亦园地面停车场,交通设施服务;停车场;公共停车场,安福路与乌鲁木齐中路交叉口西100米,,121.4396829,31.21626064,310000,上海市,21,上海市,310104,徐汇区,中山公园
B0J0C7E1O2,,GRC绿地滨江CLUB地下停车场,交通设施服务;停车场;公共停车场,云锦路500号GRC绿地滨江CLUB,,121.4528495,31.16689427,310000,上海市,21,上海市,310104,徐汇区,龙华
B0J0AM3HFY,,均瑶国际广场停车场,交通设施服务;停车场;公共停车场,肇嘉浜路789号均瑶国际广场,,121.443953,31.19952984,310000,上海市,21,上海市,310104,徐汇区,枫林路
B0J07AGRG0,,凌云天地停车场,交通设施服务;停车场;公共停车场,老沪闵路809号,,121.4270469,31.13903001,310000,上海市,21,上海市,310104,徐汇区,梅陇
B0J01CUS4Q,,古井路-道路停车位,交通设施服务;停车场;路边停车场,古井路与吴中路交叉口北100米,,121.4128735,31.19084716,310000,上海市,21,上海市,310104,徐汇区,虹桥
B0IULARWVT,,上海机动车安全检测第54站地面停车场,交通设施服务;停车场;公共停车场,,,121.4497751,31.11127112,310000,上海市,21,上海市,310104,徐汇区,华泾
B0IRP74NQ0,,宏屹广场地面停车场,交通设施服务;停车场;公共停车场,凯进路187-195号宏屹广场,,121.4261906,31.18464123,310000,上海市,21,上海市,310104,徐汇区,徐家汇
B0IRLZF6I9,,徐虹北路-道路停车位,交通设施服务;停车场;路边停车场,徐虹北路与南丹路交叉口东北100米,,121.4246486,31.19370081,310000,上海市,21,上海市,310104,徐汇区,徐家汇
B0IRBUWZ16,,徐汇万科中心F座地下停车场,交通设施服务;停车场;公共停车场,徐汇万科中心F座,,121.4285172,31.16261854,310000,上海市,21,上海市,310104,徐汇区,漕河泾
B0IR6ZN98I,,上海华龙物业公司地面停车场,交通设施服务;停车场;公共停车场,丰谷路与机场西路交叉口西北60米,,121.4490069,31.17112455,310000,上海市,21,上海市,310104,徐汇区,龙华
B0IKXAOHAS,,上海光大会展中心美居酒店地面停车场,交通设施服务;停车场;公共停车场,沪闵路9505号上海光大会展中心美居酒店,,121.4299552,31.16731812,310000,上海市,21,上海市,310104,徐汇区,龙华
B0IKVUH6OJ,,上海盛捷徐汇滨江界服务公寓停车场,交通设施服务;停车场;公共停车场,罗秀路与天等路交叉口东240米,,121.4277236,31.13193471,310000,上海市,21,上海市,310104,徐汇区,梅陇
B0IKT7MN9B,,华泾镇社区卫生服务中心地面停车场,交通设施服务;停车场;公共停车场,建华路与位育路交叉口东40米,,121.4399134,31.12291592,310000,上海市,21,上海市,310104,徐汇区,华泾
B0IGXMLFY1,,摩登设计谷地面停车场,交通设施服务;停车场;公共停车场,嘉川路与天等路交叉口东140米,,121.4236117,31.14084882,310000,上海市,21,上海市,310104,徐汇区,梅陇
B0IGU95LY4,,龙华素斋停车场,交通设施服务;停车场;公共停车场,龙华素斋(龙华路店)(龙华地铁站3号口步行250米),,121.4477913,31.17772059,310000,上海市,21,上海市,310104,徐汇区,龙华
B0IGU94J8B,,复旦大学附属眼耳鼻喉科医院汾阳院区地面停车场,交通设施服务;停车场;公共停车场,汾阳路83号(太原路口)复旦大学附属眼耳鼻喉科医院(汾阳院区),,121.4487618,31.21169187,310000,上海市,21,上海市,310104,徐汇区,岳阳
B0IGU943WJ,,宛平剧院地下停车场,交通设施服务;停车场;公共停车场,中山南二路857-859号宛平剧院,,121.4466316,31.18645775,310000,上海市,21,上海市,310104,徐汇区,龙华
B0IGT5ICSB,,雅舍宾馆地下停车点,交通设施服务;停车场;公共停车场,宛平南路与零陵路交叉口西北120米,,121.4432541,31.19099268,310000,上海市,21,上海市,310104,徐汇区,龙华
B0IGT5HYPF,,华鑫科技园地面停车场,交通设施服务;停车场;公共停车场,虹漕路与田林路交叉口西北80米,,121.4058157,31.17159922,310000,上海市,21,上海市,310104,徐汇区,漕河泾
B0IGR7YFG3,,上海市建设工程管理有限公司(汾阳路)地面停车场,交通设施服务;停车场;公共停车场,汾阳路与太原路交叉口北40米,,121.4493422,31.21260568,310000,上海市,21,上海市,310104,徐汇区,淮海路
B0IGR7XLIQ,,中核浦原科技园地面停车场,交通设施服务;停车场;公共停车场,桂林路与漕宝路交叉口西北180米,,121.4131615,31.17016481,310000,上海市,21,上海市,310104,徐汇区,田林
B0IGR7X08B,,复旦大学附属中山医院门诊综合楼地面停车场,交通设施服务;停车场;公共停车场,复旦大学附属中山医院西院区门诊综合楼,,121.4491718,31.20115586,310000,上海市,21,上海市,310104,徐汇区,岳阳
B0IGR5YDOY,,上海京剧院地下停车场,交通设施服务;停车场;公共停车场,天钥桥路1198号上海京剧院,,121.44311,31.17662763,310000,上海市,21,上海市,310104,徐汇区,龙华
B0IGORJRWS,,越界·睿园立体停车场,交通设施服务;停车场;公共停车场,桂平路与漕宝路交叉口南160米,,121.4005138,31.16338317,310000,上海市,21,上海市,310104,徐汇区,康健
B0IGORJKAF,,越界·睿园地面停车场,交通设施服务;停车场;公共停车场,桂平路与漕宝路交叉口南120米,,121.4007518,31.16385596,310000,上海市,21,上海市,310104,徐汇区,康健
B0IGORJK9Z,,徐汇乐业天地地面停车场,交通设施服务;停车场;公共停车场,田林路418号徐汇乐业天地,,121.391315,31.1688091,310000,上海市,21,上海市,310104,徐汇区,漕河泾
B0IGGDX8LZ,,西岸凤巢AI PLAZA停车场,交通设施服务;停车场;公共停车场,西岸凤巢AI PLAZA(云锦路地铁站5号口步行440米),,121.4566372,31.16570275,310000,上海市,21,上海市,310104,徐汇区,龙华
B0IG7SQSJR,,桂林路750号地面停车场,交通设施服务;停车场;公共停车场,桂林路与钦州北路交叉口北280米,,121.4090803,31.18499084,310000,上海市,21,上海市,310104,徐汇区,虹梅路
B0IG7SQ5SG,,沃尔玛(好又多上海田林分店)地面停车场,交通设施服务;停车场;公共停车场,桂林路402号74幢沃尔玛(好又多上海田林分店),,121.4120883,31.17368029,310000,上海市,21,上海市,310104,徐汇区,虹梅路
B0IG7SPT2G,,复旦大学附属中山医院西院区地下停车场,交通设施服务;停车场;公共停车场,平江路与医学院路交叉口北80米,,121.4481131,31.20094669,310000,上海市,21,上海市,310104,徐汇区,岳阳
B0IG7SPD7F,,锦和巴黎时韵地面停车场,交通设施服务;停车场;公共停车场,襄阳南路500号锦和巴黎时韵,,121.4533624,31.20790993,310000,上海市,21,上海市,310104,徐汇区,岳阳
B0IG7SP68H,,滨江城开中心1期地下停车场,交通设施服务;停车场;公共停车场,丰谷路与龙腾大道交叉口西南200米,,121.4569356,31.17154047,310000,上海市,21,上海市,310104,徐汇区,龙华
