id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈
B0J6DDBQ8F,,上海1980S M A Sport篮球馆,体育休闲服务;运动场馆;篮球场馆,浦北路6号4楼,17701616900,121.4256167,31.16204606,310000,上海市,21,上海市,310104,徐汇区,
B0JDMZ3WIH,,澜悦会游泳健身,体育休闲服务;运动场馆;游泳馆,浦北路中星铂尔曼酒店5楼(上海南站地铁站8号口步行440米),19821920109,121.4251641,31.16134387,310000,上海市,21,上海市,310104,徐汇区,
B0FFF620Q1,,七彩轮滑俱乐部(中星城店),购物服务;体育用品店;体育用品店|体育休闲服务;运动场馆;运动场所,浦北路9号中星城F3层(上海南站地铁站8号口步行270米),021-31667803;18321659295;4006785526,121.4241127,31.16060899,310000,上海市,21,上海市,310104,徐汇区,
B0JGH6L0JK,,BUFFALO篮球运动中心(中星城店),体育休闲服务;运动场馆;篮球场馆,浦北路9号中星城(上海南站地铁站8号口步行340米),,121.4235869,31.16089922,310000,上海市,21,上海市,310104,徐汇区,
B0I3UCNP2A,,瑞趣网羽体育中心,购物服务;体育用品店;体育用品店,石龙路666号长途客运南站4号门停车场内,13162885835,121.4291439,31.15488444,310000,上海市,21,上海市,310104,徐汇区,
B0I0YAVDYT,,无羽羽毛球培训,科教文化服务;科教文化场所;科教文化场所,柳州路辅路与动力南二路交叉口南40米,,121.4288434,31.15523584,310000,上海市,21,上海市,310104,徐汇区,
B0HRCZMATY,,羽+运动馆,体育休闲服务;体育休闲服务场所;体育休闲服务场所,漕河泾街道石龙路395号3A,18964497479,121.434293,31.15686013,310000,上海市,21,上海市,310104,徐汇区,
B0HRLH05FG,,迅鹿体育中心,体育休闲服务;运动场馆;综合体育馆,石龙路与永川路交叉口西南100米,17701893561,121.4335415,31.15694989,310000,上海市,21,上海市,310104,徐汇区,
B0FFIYEYA7,,耐克(汇金奥特莱斯北商场店),购物服务;体育用品店;耐克专卖店,沪闵路9001号汇金奥特莱斯北商场F1层,4008806453,121.4276816,31.15386599,310000,上海市,21,上海市,310104,徐汇区,
B0FFHS1QJ9,,New Balance(上海银泰购物中心工厂店),购物服务;体育用品店;体育用品店,石龙路750-3号上海南站南广场盛泰百货B1新白伦专柜,4008902887,121.4275794,31.15441356,310000,上海市,21,上海市,310104,徐汇区,
B001571AC4,,耐克(上海南站店),购物服务;体育用品店;耐克专卖店,沪闵路9001-3号盛泰奥特莱斯南商场B1层(近上海南站),4008806453,121.4265919,31.15377561,310000,上海市,21,上海市,310104,徐汇区,
B0FFFWPT8B,,VANS(上海南站店),购物服务;体育用品店;体育用品店,徐汇区石龙路750号汇金奥特莱斯b1,,121.4268874,31.15377999,310000,上海市,21,上海市,310104,徐汇区,
B0FFH868V5,,SKECHERS(上海南站店),购物服务;服装鞋帽皮具店;品牌鞋店,石龙路750-3号上海南站汇金百货B1层,,121.4275504,31.15420963,310000,上海市,21,上海市,310104,徐汇区,
B00156YQE7,,彪马(上海长途客运南站店),购物服务;体育用品店;彪马专卖店,石龙路750-3号上海汇金奥特莱斯B1,021-54359025,121.4279109,31.15427908,310000,上海市,21,上海市,310104,徐汇区,
B0J3UC3V4F,,BUFFALO篮球公园(南站店),体育休闲服务;体育休闲服务场所;体育休闲服务场所,上海市徐汇区石龙路728号(近上海长途南站2号门),17749740458,121.4288475,31.1538006,310000,上海市,21,上海市,310104,徐汇区,
B0FFFWAFWB,,阿迪达斯(上海南站折扣店),购物服务;体育用品店;阿迪达斯专卖店,石龙路750号上海南站南汇金奥特莱斯C区B1层,,121.4273001,31.15315785,310000,上海市,21,上海市,310104,徐汇区,
B0FFFXQXO9,,361度(汇金奥特莱斯南商场店),购物服务;体育用品店;体育用品店,石龙路750-3号汇金奥特莱斯南广场B1层运动户外馆,13764082165,121.4264878,31.15347064,310000,上海市,21,上海市,310104,徐汇区,
B0IATSPI7U,,科迈游泳培训搏击柔术乒乓球综合馆,体育休闲服务;运动场馆;乒乓球馆,嘉陵路与石龙路交叉口东60米,,121.426447,31.15019331,310000,上海市,21,上海市,310104,徐汇区,
B0FFGON7ZO,,中海馨园游泳馆,体育休闲服务;运动场馆;游泳馆,钦州南路8弄1-25号中海馨园,021-54355123,121.4239941,31.16509252,310000,上海市,21,上海市,310104,徐汇区,
B0FFM8YJ64,,HGA网球俱乐部(徐汇光大中心店),体育休闲服务;运动场馆;网球场,漕宝路66号光大会展中心4楼,4000399398,121.424171,31.1690207,310000,上海市,21,上海市,310104,徐汇区,
B0FFFPPEI8,,康健光大国际大酒店-乒乓球,体育休闲服务;运动场馆;乒乓球馆,漕宝路66号光大会展中心国际大酒店A座F4层,13816707800,121.4247738,31.16942422,310000,上海市,21,上海市,310104,徐汇区,
B0J3JL4I1V,,轻松星球(徐汇日月光店),体育休闲服务;运动场馆;运动场所,漕宝路36号2号楼106-2室,18621681324,121.4271254,31.169747,310000,上海市,21,上海市,310104,徐汇区,
B0JD317TYZ,,回力(徐汇日月光中心店),购物服务;体育用品店;体育用品店,漕宝路33号徐汇日月光中心B1层B1-23,,121.4281719,31.17074388,310000,上海市,21,上海市,310104,徐汇区,
B0J3HGIS21,,帅速乒乓球专业培训,体育休闲服务;运动场馆;乒乓球馆,漕宝路33号徐汇日月光中心F3层(漕宝路地铁站出入口旁),,121.4277873,31.17081133,310000,上海市,21,上海市,310104,徐汇区,
B0J21UIGFL,,帅速乒乓连锁(徐汇日月光中心店),购物服务;购物相关场所;购物相关场所,漕宝路33号徐汇日月光中心F3层(漕宝路地铁站出入口旁),,121.4279375,31.17079454,310000,上海市,21,上海市,310104,徐汇区,
B0HKRSP0DQ,,PadelUP板式网球(Padel),体育休闲服务;运动场馆;网球场,漕溪路250号银海大楼11楼露台,,121.4298476,31.17228342,310000,上海市,21,上海市,310104,徐汇区,
B0JRK16WN6,,弈非乒乓,体育休闲服务;运动场馆;乒乓球馆,冠生园路393号德必易园102,13601677091,121.4205145,31.16495878,310000,上海市,21,上海市,310104,徐汇区,
B0J11C9WBU,,弈非体育策划(上海)有限责任公司,公司企业;公司;公司,冠生园路与柳州路交叉口西南20米,,121.4206427,31.16500089,310000,上海市,21,上海市,310104,徐汇区,
B0FFH7D15M,,上海师范大学徐汇校区东部操场,体育休闲服务;运动场馆;运动场所,桂林路100号上海师范大学徐汇校区东部内,021-64322000,121.4187427,31.16217049,310000,上海市,21,上海市,310104,徐汇区,
B0J1F4595H,,康健社区体育场,体育休闲服务;运动场馆;综合体育馆,桂林东街与浦北路交叉口西北140米,,121.4202056,31.16025791,310000,上海市,21,上海市,310104,徐汇区,
B00154VOEZ,,康东网球馆,体育休闲服务;运动场馆;网球场,浦北路270号(近桂林路),021-64750504,121.4178341,31.1574741,310000,上海市,21,上海市,310104,徐汇区,
B001541610,,徐汇区工人文化体育中心,体育休闲服务;休闲场所;休闲场所,桂林路46号,,121.4161013,31.15795935,310000,上海市,21,上海市,310104,徐汇区,
B0FFHRTOOU,,上海市康林体育中心,体育休闲服务;运动场馆;综合体育馆,浦北路270号康东网球馆1号楼,,121.4174196,31.15777857,310000,上海市,21,上海市,310104,徐汇区,
B00154NIU6,,上海市体育场馆设施管理中心-田林体育俱乐部,体育休闲服务;运动场馆;运动场所,钦州路728号,021-54974676;021-54979800,121.4239771,31.17654363,310000,上海市,21,上海市,310104,徐汇区,
B0FFHW5LYG,,上海市田林体育俱乐部网球场,体育休闲服务;运动场馆;网球场,钦州路728号(近田林东路),,121.4235765,31.17655816,310000,上海市,21,上海市,310104,徐汇区,
B0GKY1KZQD,,冠培体育,购物服务;体育用品店;体育用品店,田林街道钦州路728号,,121.4240452,31.17683456,310000,上海市,21,上海市,310104,徐汇区,
B0J31XNLV1,,保龄球馆,体育休闲服务;运动场馆;运动场所,田林体育俱乐部(东门)二楼,,121.4242605,31.17643202,310000,上海市,21,上海市,310104,徐汇区,
B0HDUCKEAI,,真阳太极静修馆(体育公寓店),体育休闲服务;运动场馆;运动场所,田林东路360弄2号楼2楼A座,021-64226750,121.4241965,31.17565034,310000,上海市,21,上海市,310104,徐汇区,
B0FFJFTB33,,YONEX互动网球馆(田林东路店),体育休闲服务;运动场馆;运动场所,田林东路75号汇阳广场1层109号,021-64160881;021-64265080;13501918567,121.4283508,31.17615936,310000,上海市,21,上海市,310104,徐汇区,
B0FFK29C5Z,,迅猛龙乒乓球俱乐部(汇阳广场),体育休闲服务;运动场馆;乒乓球馆,田林东路75号汇阳广场三楼316商铺,13816708833,121.4288866,31.17628503,310000,上海市,21,上海市,310104,徐汇区,
B0FFK9HDRK,,择通体育,购物服务;体育用品店;体育用品店,田林东路285号好饰家07-08商铺,13916695399,121.4283157,31.1755816,310000,上海市,21,上海市,310104,徐汇区,
B0FFHXCPI7,,棒棒体育(汇阳广场店),购物服务;体育用品店;体育用品店,田林东路75号汇阳广场1F层,,121.4284479,31.17635439,310000,上海市,21,上海市,310104,徐汇区,
B0FFFFGS8T,,安踏(汇金奥特莱斯南商场店),购物服务;体育用品店;体育用品店,石龙路750汇金奥特莱斯南商场B2层,4008582020,121.4260151,31.15343405,310000,上海市,21,上海市,310104,徐汇区,
B0FFF55YAO,,Kappa(上海南站店),购物服务;专卖店;儿童用品店,石龙路750-3号盛泰奥特莱斯(南广场)B2层,,121.4260972,31.1535391,310000,上海市,21,上海市,310104,徐汇区,
B00155HT7M,,上海体育大学徐汇校区,科教文化服务;学校;高等院校,百色路1333号(华东理工大学地铁站2号口步行290米),,121.4270735,31.14363059,310000,上海市,21,上海市,310104,徐汇区,
B001556IEG,,上海游泳馆,体育休闲服务;运动场馆;游泳馆,中山南二路1300号(上海游泳馆地铁站1号口步行230米),021-34196900,121.4361104,31.1810177,310000,上海市,21,上海市,310104,徐汇区,
