name,address,check,city,type,outputaddress,gcj02_lng,gcj02_lat,wgs84_lng,wgs84_lat,subtitle
东方环球企业中心,上海市永和路118弄-150号,总签到962人,上海市,楼宇,上海市静安区永和路118弄150号东方环球企业中心,121.446108,31.289287,121.4415024,31.29113895,总签到962人  上海市  楼宇
三号湾广场,上海市国定路333号(近复旦大学),总签到1734人,上海市,商场,上海市杨浦区国定路333号复旦大学(公交站)三号湾广场,121.508969,31.296452,121.5045645,31.29846931,总签到1734人  上海市  商场
瑞金医院卢湾分院,上海市重庆南路１４９,总签到1379人,上海市,医院,上海市黄浦区重庆南路149号瑞金医院卢湾分院(正门),121.472449,31.218231,121.4679229,31.22017556,总签到1379人  上海市  医院
弦月窗・LUNETTE BY AMANDA,上海市复兴中路532,月签到16人,上海市,餐饮,上海市黄浦区复兴中路532号,121.466211,31.215118,121.4616656,31.21704767,月签到16人  上海市  餐饮
Highline(淮海中路店),上海市淮海中路282号雅诗阁公寓6楼,总签到1736人,上海市,西餐厅,上海市黄浦区淮海中路街道282号雅诗阁Highline(香港广场·北座店),121.474717,31.223671,121.4701978,31.22561917,总签到1736人  上海市  西餐厅
卢浦大桥,上海市黄浦区,月签到16人,上海市,桥梁,上海市黄浦区卢浦大桥,121.480073,31.191243,121.4755745,31.19322179,月签到16人  上海市  桥梁
北京东路,上海市黄浦区,总签到466人,上海市,道路,上海市黄浦区北京东路,121.477962,31.234756,121.4734527,31.23670805,总签到466人  上海市  道路
金沙御墅,上海市金沙江路2009弄,总签到649人,上海市,住宅,上海市普陀区金沙江路金沙御墅,121.3718,31.233613,121.3671705,31.2354658,总签到649人  上海市  住宅
尚9·一滴水,上海市虹口区东大名路500号,总签到2007人,上海市,地点,上海市虹口区东大名路500号尚,121.496724,31.246424,121.4922796,31.24842572,总签到2007人  上海市  地点
小飞侠天空奇遇,上海市川沙镇黄赵路310号上海迪士尼乐园,总签到346人,上海市,游乐场,上海市浦东新区川沙镇黄赵路310号上海迪士尼乐园(北门)小飞侠天空奇遇,121.657913,31.14319,121.6536572,31.14537042,总签到346人  上海市  游乐场
曹杨路,上海市曹杨路,总签到1356人,上海市,道路,上海市普陀区曹杨路,121.413025,31.240758,121.4083758,31.24259095,总签到1356人  上海市  道路
新天地广场,上海市淮海中路333号,月签到50人,上海市,商场,上海市黄浦区淮海中路333号新天地广场,121.474123,31.222482,121.469602,31.2244291,月签到50人  上海市  商场
樱花新村,上海市嘉定区马陆镇麦积路大融城,总签到482人,上海市,住宅,上海市嘉定区马陆镇樱花新村,121.284944,31.332099,121.2804797,31.33405693,总签到482人  上海市  住宅
维也纳国际酒店(上海国展中心曹安公路店)(原虹桥枢纽国展店),上海市曹安公路2431号,总签到159人,上海市,三星级宾馆,上海市嘉定区曹安公路2431号,121.339238,31.260395,121.3346672,31.26228761,总签到159人  上海市  三星级宾馆
东浩兰生上海世博展览馆,上海市中华艺术宫地铁站3号口步行460米,月签到97人,上海市,展览馆,上海市浦东新区中华艺术宫地铁站3号口世博(地铁站),121.493972,31.182418,121.4895231,31.18444193,月签到97人  上海市  展览馆
上海宝山德尔塔酒店,上海市双庆路220号,总签到825人,上海市,五星级宾馆,上海市宝山区双庆路220号上海宝山德尔塔酒店,121.48404,31.391677,121.479538,31.3935873,总签到825人  上海市  五星级宾馆
金色维也纳,上海市陆家嘴金融贸易区锦绣路333弄,总签到219人,上海市,住宅,上海市浦东新区陆家嘴金融贸易区锦绣路333弄,121.562832,31.223315,121.558593,31.22549386,总签到219人  上海市  住宅
尚街创意园,上海市嘉善路508号,总签到441人,上海市,产业园区,上海市徐汇区嘉善路508尚街,121.460217,31.204578,121.4556549,31.20649797,总签到441人  上海市  产业园区
BREAD etc.(襄阳南路店),上海市襄阳南路500号,总签到912人,上海市,咖啡厅,上海市徐汇区襄阳南路500弄,121.45788,31.205636,121.4533113,31.20754999,总签到912人  上海市  咖啡厅
东源名都,上海市双桥路1139弄-1-32号,总签到246人,上海市,住宅,上海市浦东新区双桥路1139弄1-32号东源名都(东北1门),121.616122,31.283498,121.6119119,31.2856701,总签到246人  上海市  住宅
红星美凯龙（真北店）,上海市普陀区真北路1208号(怒江北路口),总签到1666人,上海市,购物,上海市普陀区真北路金沙江路,121.377597,31.233081,121.3729601,31.23492771,总签到1666人  上海市  购物
曼哈顿酒店（上海浦江店）,上海市浦江镇竹园路168号,总签到215人,上海市,四星级宾馆,上海市闵行区浦江镇竹园路168号,121.521525,31.070592,121.5171836,31.07275773,总签到215人  上海市  四星级宾馆
家乐苑,上海市上中西路55弄6号,总签到346人,上海市,住宅,上海市徐汇区上中西路55弄6号家乐苑(东1门),121.431588,31.135205,121.4269679,31.13710694,总签到346人  上海市  住宅
南京西路铜仁路,上海市上海南京西路铜仁路,总签到388人,上海市,其他,上海市静安区南京西路铜仁路南京西路(公交站),121.449738,31.226957,121.4451463,31.22884321,总签到388人  上海市  其他
扶瑞号,上海市西藏中路268号来福士广场地下1层B1-K08,总签到742人,上海市,餐饮,上海市黄浦区西藏中路268号上海来福士广场地下1层,121.476325,31.232272,121.4718104,31.23422062,总签到742人  上海市  餐饮
宝山体育馆,上海市永清路700号永乐路4号门,总签到7737人,上海市,综合体育馆,上海市宝山区永清路700号永乐路4号门宝山体育馆,121.49129,31.394336,121.4868134,31.39626687,总签到7737人  上海市  综合体育馆
闵行马桥镇,上海市上海闵行 马桥镇,总签到675人,上海市,其他,上海市闵行区上海闵行(梅陇曹行伟伟商店),121.459811,31.082522,121.4552582,31.08450551,总签到675人  上海市  其他
上海七宝商城,上海市闵行区七宝镇七莘路3011号,总签到666人,上海市,特色商业街,上海市闵行区七宝镇七莘路3011-3021号上海七宝商城(东门),121.347364,31.156194,121.3427847,31.15812185,总签到666人  上海市  特色商业街
尚镜摄影化妆培训学校,上海市商城路518号5楼510室,,上海市,校园,上海市浦东新区商城路518号,121.517189,31.230036,121.5128193,31.23210602,  上海市  校园
锦江乐园(地铁站),上海市沪闵路8075正东方向40米,总签到3336人,上海市,地铁站,上海市徐汇区沪闵路8075-8085号,121.413532,31.141834,121.4088917,31.1437161,总签到3336人  上海市  地铁站
宝龙美术馆,上海市漕宝路3055号,月签到51人,上海市,美术馆,上海市闵行区漕宝路3055号宝龙美术馆,121.357859,31.158382,121.3532588,31.16029112,月签到51人  上海市  美术馆
猫罗万象摄影工作室NEKORA,上海市杨浦区临青路188号上纺物业鑫联园区C2栋2楼,总签到229人,上海市,休闲娱乐,上海市杨浦区临青路188号上纺物业·鑫联园区猫罗万象摄影工作室,121.543251,31.265097,121.5389615,31.26721955,总签到229人  上海市  休闲娱乐
上海师范大学 文苑楼,"上海市上海师范大学,徐汇东部校区",总签到662人,上海市,校园,上海市青浦区东部校区,121.046709,31.006502,121.0421879,31.00852069,总签到662人  上海市  校园
静安区体育馆,上海市南阳路123号,总签到1529人,上海市,综合体育馆,上海市南阳路123号静安区体育馆(西北门),121.451381,31.227984,121.4467933,31.22987312,总签到1529人  上海市  综合体育馆
莱尼电器系统(上海)有限公司,上海市嘉松北路1288,总签到68人,上海市,公司,上海市嘉定区嘉松北路1288号,121.192279,31.344825,121.1877858,31.34674552,总签到68人  上海市  公司
越界徐汇创意新天地,上海市田林路140号,总签到1982人,上海市,产业园区,上海市徐汇区田林路140号越界,121.410961,31.169383,121.406317,31.17124958,总签到1982人  上海市  产业园区
张江科学城,上海市龙东大道415弄1~459号东南方向50米,总签到952人,上海市,产业园区,上海市浦东新区龙东大道415弄1-459号,121.577379,31.21758,121.5731639,31.2197794,总签到952人  上海市  产业园区
Urban Thai妈咪泰料(长乐路店),上海市长乐路938号,总签到159人,上海市,东南亚餐厅,上海市静安区长乐路938号,121.445528,31.215728,121.4409275,31.21761129,总签到159人  上海市  东南亚餐厅
长宁区房地产交易中心大楼,上海市剑河路606号,总签到282人,上海市,楼宇,上海市长宁区剑河路606号,121.369684,31.207285,121.3650598,31.20915278,总签到282人  上海市  楼宇
虹桥高尔夫俱乐部,上海市虹许路555号,总签到882人,上海市,高尔夫球场,上海市闵行区虹许路555号虹桥高尔夫俱乐部,121.391836,31.184881,121.3871912,31.18674049,总签到882人  上海市  高尔夫球场
凯桥绿地,上海市长宁区延安西路凯旋路口（法华镇路延安西路）,总签到1081人,上海市,公园,上海市长宁区延安西路法华镇路,121.425891,31.204589,121.4212569,31.20644874,总签到1081人  上海市  公园
上海市杨浦区卫生局卫生监督所,上海市眉州支路78,总签到22人,上海市,公园户外,上海市眉州支路78号上海市杨浦区卫生健康委,121.531758,31.269437,121.5274337,31.27152966,总签到22人  上海市  公园户外
友谊会堂(北环道),上海市南京西路1333号,总签到2841人,上海市,会展中心,上海市静安区南京西路1333号友谊会堂(北环道),121.452135,31.225708,121.4475494,31.22759976,总签到2841人  上海市  会展中心
上海和睦家新城医院,上海市浦东新区新金桥路1598号,总签到56人,上海市,楼宇机构,上海市浦东新区新金桥路1598号上海和睦家医院(浦东院区),121.619392,31.257636,121.6151817,31.25981635,总签到56人  上海市  楼宇机构
海艺数字影城(上海电影艺术学院店),上海市华佗路280弄31号上海电影艺术学院内,总签到1099人,上海市,电影院,上海市浦东新区华佗路280弄31号上海电影艺术学院,121.591841,31.190976,121.5876408,31.19319671,总签到1099人  上海市  电影院
中通雅苑,上海市鞍山路78弄1~8号,总签到33人,上海市,住宅,上海市杨浦区鞍山路78弄1-8号中通雅苑(西南2门),121.51265,31.275919,121.5082604,31.27795556,总签到33人  上海市  住宅
艾比之路  Abbey Road,上海市岳阳路45号(近永嘉路),总签到50人,上海市,咖啡厅,上海市徐汇区岳阳路永嘉路艾比之路(上海衡山路休闲街店),121.451136,31.20901,121.4465493,31.21090757,总签到50人  上海市  咖啡厅
