FID,name,province,city,area,address,uid,detail_url,tag,wgs84_lng,wgs84_lat,行业大,行业子,Get_time,ha,value,visit_num
108,丽园公园,上海市,上海市,黄浦区,上海市黄浦区丽园路565号,925c550f52f73db35b3ac896,http://api.map.baidu.com/place/detail?uid=925c550f52f73db35b3ac896&output=html&source=placeapi_v2,旅游景点;公园,121.4742929,31.2093053,旅游景点,公园,2021/10/25 0:53,1.43707,1,22753
109,海棠公园,上海市,上海市,普陀区,上海市普陀区武宁路2650号,925c550fbb6226b15a3ac807,http://api.map.baidu.com/place/detail?uid=925c550fbb6226b15a3ac807&output=html&source=placeapi_v2,旅游景点;公园,121.385486,31.24928772,旅游景点,公园,2021/10/25 0:53,1.25794,1,618
110,蓬莱公园(南车站路),上海市,上海市,黄浦区,上海市黄浦区南车站路350号,92b806d2c5c444ff78b55cab,http://api.map.baidu.com/place/detail?uid=92b806d2c5c444ff78b55cab&output=html&source=placeapi_v2,旅游景点;公园,121.4872,31.20814483,旅游景点,公园,2021/10/25 0:53,2.9505,1,5086
111,曲阳公园,上海市,上海市,虹口区,上海市虹口区中山北一路880号,9411a416c32259218a36ee6d,http://api.map.baidu.com/place/detail?uid=9411a416c32259218a36ee6d&output=html&source=placeapi_v2,旅游景点;公园,121.4818461,31.28913401,旅游景点,公园,2021/10/25 0:53,6.44689,1,4429
112,延中公园,上海市,上海市,黄浦区,上海市黄浦区巨鹿路与成都南路交叉口,98bf9537435a8700e507385e,http://api.map.baidu.com/place/detail?uid=98bf9537435a8700e507385e&output=html&source=placeapi_v2,旅游景点;公园,121.462501,31.22442061,旅游景点,公园,2021/10/25 0:53,1.11368,1,31843
113,世纪公园,上海市,上海市,浦东新区,上海市浦东新区锦绣路1001号,9db9d6f6cbf3ef0433169b45,http://api.map.baidu.com/place/detail?uid=9db9d6f6cbf3ef0433169b45&output=html&source=placeapi_v2,旅游景点;公园,121.54829,31.21787008,旅游景点,公园,2021/10/25 0:53,142.93444,1,27775
114,东明公园,上海市,上海市,浦东新区,上海市浦东新区三林路,9ee392b81affde40babd63b7,http://api.map.baidu.com/place/detail?uid=9ee392b81affde40babd63b7&output=html&source=placeapi_v2,旅游景点;公园,121.5147477,31.14836191,旅游景点,公园,2021/10/25 0:53,5.46315,1,2834
115,武宁公园-北区,上海市,上海市,普陀区,上海市普陀区石泉路572号,9ffe4c81e6cd242bcafa5fc6,http://api.map.baidu.com/place/detail?uid=9ffe4c81e6cd242bcafa5fc6&output=html&source=placeapi_v2,旅游景点;公园,121.4100398,31.24865159,旅游景点,公园,2021/10/25 0:53,0.58856,1,1320
116,东安公园,上海市,上海市,徐汇区,上海市徐汇区中山南二路811号,a13e0f0091452b1117a19047,http://api.map.baidu.com/place/detail?uid=a13e0f0091452b1117a19047&output=html&source=placeapi_v2,旅游景点;公园,121.4497725,31.18713519,旅游景点,公园,2021/10/25 0:53,1.62704,1,10814
117,彭浦公园,上海市,上海市,静安区,上海市静安区场中路2150号(近共和新路),a1418eb432444e7eebe582ff,http://api.map.baidu.com/place/detail?uid=a1418eb432444e7eebe582ff&output=html&source=placeapi_v2,旅游景点;公园,121.442844,31.30639831,旅游景点,公园,2021/10/25 0:53,2.42458,1,3286
118,彩虹湾公园,上海市,上海市,虹口区,上海市虹口区安汾路610号,a145ec3ec4bf3adc96ca07ab,http://api.map.baidu.com/place/detail?uid=a145ec3ec4bf3adc96ca07ab&output=html&source=placeapi_v2,旅游景点;公园,121.4726626,31.31695693,旅游景点,公园,2021/10/25 0:53,1.65002,1,1091
