思贤公园,思贤路与人民北路交叉口东北,松江区,121.2190114499087,31.032392584625995
松江中央公园,园中路(松江区政府北侧),松江区,121.22207783280219,31.037539336833124
广富林郊野公园,辰塔路3488号,松江区,121.17901101701433,31.062996127635323
醉白池公园,人民南路64号(醉白池地铁站3号口步行80米),松江区,121.22659814902856,31.003831562165626
永丰城市公园,荣乐西路与仓轩路交叉口东北140米,松江区,121.18535705652569,31.01919794766463
假日广场,三新北路900弄泰晤士小镇内,松江区,121.19094608434536,31.03495233382839
方松体育公园,方松街道新松江路290号,松江区,121.22754243668,31.043543955354703
爱心广场,三新北路900弄泰晤士小镇内(西侧),松江区,121.18968269778968,31.03606755911464
上海月湖雕塑公园,佘山镇林荫新路1158号,松江区,121.20162315088417,31.104778255362227
五龙湖公园,茸兴路与广富林路交叉口西南140米,松江区,121.24437019402731,31.0567231818954
米市渡松南郊野公园,车墩镇松金公路9535号,松江区,121.24606307718386,30.972623505992427
其昌公园,其昌公园(嘉松南路东),松江区,121.22798912760572,31.026795001056566
辰山户外公园,辰花路508号辰山山庄(辰山植物园对面),松江区,121.17507278346962,31.067262417792275
仓城口袋公园,玉树路与松江中山西路交叉口东北20米,松江区,121.20482809131263,31.008416107219464
广富林东路休闲公园,广富林东路南侧沿线,松江区,121.25881175381791,31.055335491178877
街心公园,松汇西路1179号仓城六村旁,松江区,121.21152139815354,31.005311477861685
泗泾公园,泗泾镇江川路188号,松江区,121.270518682684,31.116159762754393
赵巷体育公园,业文路北侧,青浦区,121.22316625222741,31.12650602157618
松江区塔汇健康主题公园,育新路699号正西方向70米,松江区,121.17547885939045,30.96969525715411
华阳绿地公园,北松公路与松卫北路交叉口东北角,松江区,121.26203850540045,31.005384800162375
新桥公园,新站路430号,松江区,121.30879285307336,31.061780805736714
陈坊公园,佘山镇陈坊菜场南侧,松江区,121.18011403432223,31.100304047249157
茭菱公园,茭菱路,松江区,121.24377555632586,31.040949280482327
九科绿洲公园,九亭镇中心路与朱金路交汇口,松江区,121.32371711362735,31.109883458282958
洞泾镇健康主题广场,洞泾长兴路与洞泾同乐路交叉路口往东北约100米,松江区,121.26658766558698,31.084265902296096
上海人文纪念公园,外青松公路7270号,青浦区,121.13001719389156,31.112405049241872
赵巷公园,镇泽路与巷崧路交叉口南220米,青浦区,121.19354214900999,31.15963628016274
帐篷搭建点郊野公园,车墩镇松金公路9535号米市渡松南郊野公园内(南侧),松江区,121.24891228030337,30.963168867922022
闵行体育公园,新镇路456号,闵行区,121.36625760482035,31.145064851104745
石湖荡镇控烟主题公园,东栅路162号附近,松江区,121.11361068838826,30.987868776152418
佘山度假区自然公园,佘天昆公路佘山国家旅游度假区(西北角),松江区,121.19367606973599,31.092465901597826
新桥绿地,新育路,松江区,121.3178908588693,31.06931942229587
吴家浜公园,勤富路503号,松江区,121.30035442381485,31.11338375240732
淀山湖大道公园,淀山湖大道与中字河路交叉口东北120米,青浦区,121.05320407811496,31.132012607323734
小昆山健康主题公园,玉昆路与翔昆路交叉口东南40米,松江区,121.11506080708541,31.035220170733083
青浦春暖绿地公园,崧润路,青浦区,121.15555225570071,31.15024820130052
马桥公园,富岩路298弄15号,闵行区,121.3653166629468,31.03310679397123
小蒸公园,三官桥路与贞溪北路交叉口东40米,青浦区,121.07428619337615,30.98901718896963
泖港镇健康主题公园,新宾路附近,松江区,121.20972108512125,30.93411246967301
九里亭公园,九里亭街道沪亭北路与涞寅路交叉口西南侧,松江区,121.31166620664924,31.147155196053127
星体运动公园,玉树路2575-2583号飞航广场4层,松江区,121.20411077131585,31.011604244072668
上海影视乐园-外滩公园,车墩镇北松公路4915号上海影视乐园内(东南角),松江区,121.30886497828088,31.01152092481675
云朵公园,北淀浦河路与浦仓路交叉口西南120米,青浦区,121.11634860771383,31.14365955900654
九千泾公园,业煌路1726号,松江区,121.19905563202845,31.133791606586765
如心公园,港俞路以东海盈路以南,青浦区,121.09930863282311,31.14516674537452
小昆山健康公园,清河街与昆港公路交叉口西南40米,松江区,121.13372403457737,31.037569706508137
碳路者公园,华西路500号,闵行区,121.36135196633793,31.065248391953087
爱多邦公园,崧淀二路与青湖东路交叉路口往东南约50米,青浦区,121.1513754236948,31.14677949082946
健康主题公园,车墩人口文化广场内(北侧),松江区,121.31076036569512,31.016654409585875
口袋公园,建新村,青浦区,121.0959434917377,31.064254956508226
梅香公园,漕盈路与漕俞路交叉口西南80米,青浦区,121.08971347639931,31.160833176649867
凹凸滑板公园,新龙路1285号(中春路地铁站1号口步行280米),闵行区,121.33321182743934,31.154114502622924
淀山湖栾树林公园,港周路,青浦区,121.06302346713113,31.131977156772326
水榭亭健康公园,车亭公路1487号,松江区,121.317123150286,30.945689436692003
音乐公园,庙前街21号,青浦区,121.10831829877533,31.149234463642863
法制宣传主题公园,莘谭路闵行区实验小学(莘松校区)南侧约70米,闵行区,121.36678586350318,31.11038299963717
苏宁公园,公园路458号凯特利广场,青浦区,121.11256690176457,31.150734621051235
小昆山园,山西路4号,松江区,121.12949965169317,31.04029424682989
九亭口袋公园,九新公路与亭中路交叉口北60米,松江区,121.31734312217799,31.127464042908127
全民健康主题公园,新浜镇新绿街,松江区,121.06748121827464,30.932825465763273
沪松公路鼓浪路街心公园,沪松公路与鼓浪路交叉口南40米,松江区,121.27983596595747,31.11906414456794
光星路口袋公园,光星路与茸龙路交叉口南60米,松江区,121.23934820937363,31.030558720259858
车墩人口文化广场,北松公路与李高路交叉路口西北侧,松江区,121.31057780818828,31.01620201382231
