adname,adress,divisions,lng,lat
嘉天下休闲广场,南翔镇沪宜公路139弄3号(上海市嘉定震川培训中心),嘉定区,121.3131055,31.292561
山林绿洲口袋公园,叶城路与沪宜公路交叉口东北40米,嘉定区,121.2547965,31.37033875
五月花公园,保利五月花西区正门旁,嘉定区,121.253255,31.40839613
马陆镇双拥运动公园,马陆镇,嘉定区,121.2621156,31.34625404
上海市民体育公园,安亭镇安辰路,嘉定区,121.2328381,31.32971742
仓场健身公园,申裕路与申裕路399弄交叉口东北200米,嘉定区,121.279265,31.36295955
北水湾体育公园,树屏路,嘉定区,121.2381594,31.40454349
马陆公园,马陆镇育英街455号,嘉定区,121.2741512,31.32829924
远香湖党建主题公园,天祝路与裕民南路路口东侧,嘉定区,121.2608382,31.35105818
双拥主题公园,仓场路与茹水路交叉口东40米,嘉定区,121.2708174,31.38547161
复华公园,茹水路与仓场路交叉口南100米,嘉定区,121.2701832,31.38472142
新成公园,塔城东路335号(近和政路),嘉定区,121.2643339,31.38956976
娄塘公园,嘉唐公路与娄朱公路交汇处南100米,嘉定区,121.2098846,31.42692897
黄渡文化广场,文化街79弄7号,嘉定区,121.2131173,31.26598777
北郊公园-外冈法治文化公园,恒荣路北郊公园(东南角),嘉定区,121.1708027,31.35382426
远香湖,白银路,嘉定区,121.2637697,31.35170009
菊园新区垃圾分类主题公园,盘安路红石路交叉口西北角,嘉定区,121.2239402,31.38251834
古树公园,安亭镇光明村泰海路230号,嘉定区,121.2405521,31.31752439
口袋公园,曹安公路与星华公路交汇处东北角,嘉定区,121.272534,31.27234897
高昌路居民健身公园,高昌路121号附近,嘉定区,121.2374307,31.37553475
陈家山荷花公园,平城路860号,嘉定区,121.2408581,31.40013129
栖霞苑口袋公园,人民街西水关南侧,嘉定区,121.2374593,31.38034929
北郊公园,百安公路2699号,嘉定区,121.1705772,31.35418872
紫气东来公园,天祝路(近胜辛路),嘉定区,121.2462555,31.34625243
百亩公园,南翔镇卢尔公寓,嘉定区,121.3165988,31.30182371
滨江爱特公园,江桥艾法薇尔幼儿园西南(石粉厂路),嘉定区,121.3104287,31.23220515
西上海广场,合作路1018号,嘉定区,121.2479503,31.34508371
嘉北郊野公园,沪宜公路5051号,嘉定区,121.192345,31.35935597
南水关公园,博乐路70号,嘉定区,121.2512904,31.37844728
新城拓展公园,裕民南路石冈门塘休闲公园,嘉定区,121.2628439,31.34721524
同济大学嘉定校区满天星广场,曹安公路4800号同济大学嘉定校区,嘉定区,121.213686,31.28930965
新世纪广场,新世界休闲生活广场,嘉定区,121.3357298,31.26381097
南城墙公园,南大街6号附近,嘉定区,121.249655,31.37768384
儿童公园,梅园路226号(近嘉定体育馆),嘉定区,121.2368367,31.38506868
汇龙潭公园,塔城路299号,嘉定区,121.2494456,31.38307624
绿地滨河公园(建设中),鹤望路与金运路交叉口西180米,嘉定区,121.3140514,31.24606706
陈家山公园,胜竹路柳湖路,嘉定区,121.240623,31.40084505
儿童公园-梅园广场,嘉定镇梅园路71号,嘉定区,121.2376869,31.38535785
洛克公园(吉嘉商业广场店),崇教路19号吉嘉商业广场F1层(马陆地铁站出入口步行80米),嘉定区,121.2721153,31.32226352
安亭市民广场,墨玉路328号,嘉定区,121.1598949,31.30181273
杭桂绿地公园,杭桂路945号,嘉定区,121.201176,31.27556915
同济大学嘉定校区嘉园广场,曹安公路4800号同济大学嘉定校区,嘉定区,121.2082375,31.28478399
儿童拓展公园,裕民南路与伊宁路路口,嘉定区,121.2621605,31.34651692
南翔镇银翔湖公园,南翔镇槎溪路,嘉定区,121.3225767,31.28409841
春盛苑小区休闲广场,嘉松北路与罗家路交叉口北140米,嘉定区,121.2037632,31.27285499
嘉定紫藤园,博乐路45号,嘉定区,121.2542778,31.38158846
南门港公园,新排路与川南奉公路交叉口南80米,奉贤区,121.6457408,30.91265481
青春广场,城乡路与振兴路交叉口,奉贤区,121.5761275,30.92636044
青春广场-法治文化广场,南奉公路与城乡路交叉口西80米,奉贤区,121.5758813,30.92631528
西渡公园,西渡街道扶兰路18号对面,奉贤区,121.4355678,30.990903
共青公园,新柘中路与沪杭公路交叉口东北40米,奉贤区,121.4683162,30.83191014
哈士鳍路亚公园,延安中心支路与延安中心路交叉口西北260米,奉贤区,121.4383947,30.88416992
玉兰广场,四团天鹏四区(市场路南),奉贤区,121.7238691,30.94396441
塘外村法治微公园,紫苑路与塘外·人民路交叉口东北20米,奉贤区,121.6168586,30.90444561
青溪法治公园,青村·人民路与青村北路交叉口西南160米,奉贤区,121.5774978,30.92809144
海塘公园,海湾镇,奉贤区,121.4880983,30.83704486
上海九棵树艺术公园,汇丰西路188号,奉贤区,121.4702586,30.94893415
卫季村党建微公园,团结支路与大卫路交叉口西南40米,奉贤区,121.5973481,30.90475156
江海法治广场,南桥江海花园(上海绕城高速公路北),奉贤区,121.458532,30.90473575
火车头广场,海泉路100号,奉贤区,121.5108005,30.84595333
交通法治广场,瞭海路与星中路交叉口西南100米,奉贤区,121.5621152,30.86626647
上海之鱼泡泡公园,秀竹路上海之鱼南侧,奉贤区,121.4970778,30.92876532
南闸公园,海佳路,奉贤区,121.5281261,30.82326098
青年艺术公园,上海之鱼内(东侧),奉贤区,121.5010204,30.93493947
水边广场,南桥镇湖畔路333号奉贤博物馆,奉贤区,121.4980236,30.93594591
上海之鱼-年丰公园,年丰路与湖堤路交叉口东南120米,奉贤区,121.4904224,30.93473285
古华园,解放中路87号,奉贤区,121.4601775,30.91987689
上海奉贤建材市场文化娱乐广场,大叶公路7268号,奉贤区,121.6469498,30.98335478
东南广场,南桥镇解放中路220号古华园(东侧),奉贤区,121.4620191,30.91914797
奉城中心公园,奉城镇奉城老街北侧,奉贤区,121.6500506,30.91826289
新张村党建微公园,南张中心路与奉柘公路交叉口北300米,奉贤区,121.5331755,30.87294923
红叶公园,环城东路2411号,奉贤区,121.4698482,30.9029862
五一公园,百通路与望园南路交叉口东南方向,奉贤区,121.4863273,30.91664536
庄行公园,贤明路与钜庭路交叉口东240米,奉贤区,121.4184883,30.90834571
上海都市菜园-营地公园,海湾镇海兴路888弄1号上海都市菜园,奉贤区,121.5858577,30.86623812
六墩公园,南庄路与六墩中心路交叉口东北120米,奉贤区,121.461738,30.89957779
景观广场,南桥镇解放中路220号古华园(北侧),奉贤区,121.460038,30.92118977
正阳中央公园,南桥镇,奉贤区,121.4732243,30.9142409
星空公园,金钱公路与褚家路交叉口北340米,奉贤区,121.507764,30.92841133
正阳体育公园,南桥镇正环路669弄82号,奉贤区,121.478318,30.90884553
市民公园,百秀路与百齐路交叉口东北50米,奉贤区,121.4821196,30.91568053
青村书法公园,南奉公路与南明路交叉路口西北侧,奉贤区,121.5710513,30.92664576
微光公园,海农公路1588号,奉贤区,121.5616335,30.86370927
海湾镇火车头城市广场,海农公路与民乐路交叉口,奉贤区,121.5609031,30.86414598
达令港公园,汇中路与金闸公路交叉口东南500米,奉贤区,121.5048457,30.98739575
Harbour天台滑板公园,金海公路3399号新世界商业广场c区4-068号,奉贤区,121.4901269,30.91660769
百曲村沿港三组微公园,百曲村沿港334号,奉贤区,121.5282993,30.96088719
奉贤区浦南运河法治公园,奉浦街道运河路沿线南上海运河公园(西南角),奉贤区,121.4666721,30.92444597
牡丹文化休闲广场,庄行镇安中路153号,奉贤区,121.3950781,30.96303487
沙贝微公园,李家路与白沙路交叉口东40米,奉贤区,121.5233286,30.94705931
奉浦四季生态园,奉浦社区韩谊路515号,奉贤区,121.4656217,30.93715367
朱店村党建微公园,沿钱公路4438号西90米,奉贤区,121.5504656,30.92196187
待问公园,西闸公路1846号,奉贤区,121.420518,30.98601767
春来市民微公园,头桥东路与新奉公路交叉口东160米,奉贤区,121.6436714,30.94817131
